Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      323    0.002    0.000    0.024    0.000 _param_validation.py:169(wrapper)
        3    0.000    0.000    0.024    0.008 base.py:6(<module>)
      385    0.003    0.000    0.024    0.000 _util.py:343(getfullargspec_no_self)
   177760    0.016    0.000    0.024    0.000 {built-in method builtins.isinstance}
     3455    0.008    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        6    0.000    0.000    0.023    0.004 context.py:1(<module>)
        2    0.000    0.000    0.023    0.011 special.py:1(<module>)
49299/49023    0.014    0.000    0.023    0.000 {method 'join' of 'str' objects}
      132    0.001    0.000    0.022    0.000 _docstring.py:38(__call__)
        3    0.000    0.000    0.022    0.007 core.py:4(<module>)
  122/111    0.000    0.000    0.022    0.000 _docstring.py:79(__call__)
    15172    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
       15    0.000    0.000    0.022    0.001 decorators.py:189(wrapper)
        2    0.000    0.000    0.021    0.011 parallel.py:1(<module>)
        1    0.000    0.000    0.021    0.021 connectionpool.py:1(<module>)
       10    0.000    0.000    0.020    0.002 api.py:180(_typeof)
        9    0.000    0.000    0.020    0.002 api.py:162(_typeof_locked)
     6190    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       15    0.000    0.000    0.020    0.001 dispatcher.py:807(__init__)
        1    0.000    0.000    0.020    0.020 callconv.py:1(<module>)
      174    0.020    0.000    0.020    0.000 {built-in method io.open}
        7    0.000    0.000    0.020    0.003 _base.py:1(<module>)
     1381    0.017    0.000    0.020    0.000 sre_compile.py:276(_optimize_charset)
        9    0.000    0.000    0.020    0.002 cparser.py:551(parse_type)
        9    0.000    0.000    0.020    0.002 cparser.py:554(parse_type_and_quals)
     6740    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
